Date;Price;Open;High;Low;Vol.;Change %
06/17/2010;124.613;123.625;125.733;122.835;8.64M;0.80%
06/16/2010;123.625;127.313;128.236;120.991;12.13M;-1.88%
06/15/2010;125.996;119.212;126.325;118.619;10.60M;3.97%
06/14/2010;121.188;117.105;122.176;116.775;8.52M;5.14%
06/11/2010;115.260;113.087;116.578;111.770;9.85M;2.70%
06/10/2010;112.231;107.027;112.626;106.303;9.17M;4.03%
06/09/2010;107.884;107.027;108.411;105.710;8.14M;2.82%
06/08/2010;104.920;104.327;105.644;99.651;12.43M;1.79%
06/07/2010;103.076;100.771;105.447;99.190;9.99M;0.32%
06/04/2010;102.746;102.615;109.991;101.758;10.25M;-5.68%
06/03/2010;108.938;111.638;112.297;108.872;7.33M;0.43%
06/02/2010;108.477;108.345;110.255;106.764;7.14M;-0.90%
06/01/2010;109.465;113.680;114.009;106.369;13.02M;-4.48%
05/31/2010;114.602;111.967;115.063;111.440;3.42M;1.58%
05/28/2010;112.824;115.787;115.853;112.297;8.41M;-1.50%
05/27/2010;114.536;109.069;114.536;107.752;10.37M;6.69%
